NOME FANTASIA,RAZÃO SOCIAL,CNPJ,TIPO,ATIVIDADE,NATUREZA JURÍDICA,PORTE,FATURAMENTO,CAPITAL SOCIAL,QUANT. FUNC.,DATA ABERT.,SÓCIOS,TELEFONE,EMAIL,CIDADE,ESTADO,BAIRRO,CEP,LOGRADOURO,NÚMERO,LOCATION,Lat,Lng,km.res$cluster
O Rei Da Sucata,Erick Nobrega Miranda Eireli - Epp,17.851.506/0001-07,INDÚSTRIA,"Coleta, tratamento e disposição de resíduos ou recuperação de materiais",Empresa Individual De Responsabilidade Limitada (De Natureza Empresária),Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,4/1/2013,Não informado,(83) 3341-4134,comercial@cetconsultores.com.br,Campina Grande,PB,Catolé,58.410-215,Avenida Elpidio De Almeida,1111,"Avenida Elpidio De Almeida, Campina Grande - PB",-7.2388106,-35.8754782,4
Servlimp Engenharia Ambiental,Servlimp Servicos Ambientais Ltda - Epp,04.285.337/0001-43,INDÚSTRIA,"Coleta, tratamento e disposição de resíduos ou recuperação de materiais",Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"R$600,000.00",10 à 19,2/15/2001,Vlademir Martorelli Chaves,(83) 3221-4993,contabilizejp@hotmail.com,João Pessoa,PB,Centro,58.010-780,Avenida General Osorio,164,"Avenida General Osorio, João Pessoa - PB",-7.1190511,-34.8847382,4
Chl Engenharia Ambiental,Chl Construcoes E Servicos Eireli - Epp,05.201.896/0001-90,INDÚSTRIA,"Coleta, tratamento e disposição de resíduos ou recuperação de materiais",Empresa Individual De Responsabilidade Limitada (De Natureza Empresária),Pequeno Porte,de R$360 mil até R$3.6 M ,"R$700,000.00",Não informado,8/2/2002,Henrique Lott Sobreira Pimentel,(83) 3221-7411,chl.ltda@hotmail.com,João Pessoa,PB,Tambaú,58.039-110,Rua Nossa Senhora Dos Navegantes,521,"Rua Nossa Senhora Dos Navegantes, João Pessoa - PB",-7.1152041,-34.8247649,4
Limpe Entulhos,Limpe Servicos De Transporte E Coleta De Residuos Solidos Ltda - Epp,14.302.834/0001-66,INDÚSTRIA,"Coleta, tratamento e disposição de resíduos ou recuperação de materiais",Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"R$25,000.00",Não informado,9/14/2011,"Alexsandro Messias Jeronimo, Adriana Dias Jeronimo",(83) 8735-3188,Não informado,Patos,PB,Centro,58.700-330,Rua Vidal De Negreiros,154,"Rua Vidal De Negreiros, Patos - PB",-7.0243038,-37.2742846,4
Tecniplast,Tecniplast Industria E Comercio De Moagens Plasticas Ltda - Epp,25.317.612/0001-33,INDÚSTRIA,"Coleta, tratamento e disposição de resíduos ou recuperação de materiais",Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"R$50,000.00",Não informado,7/29/2016,"Roberta Busetti, Iolanda Busetti",(83) 9625-3113,robertabusetti@gmail.com,João Pessoa,PB,Distrito Industrial,58.082-050,Rua Das Industrias,131,"Rua Das Industrias, João Pessoa - PB",-7.1766619,-34.9172673,4
Tubos Dura +,"Maria Luisa Industria, Comercio E Reciclagens De Plasticos Ltda - Epp",07.088.088/0001-94,INDÚSTRIA,"Coleta, tratamento e disposição de resíduos ou recuperação de materiais",Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,5 à 9,10/11/2004,"Marcelo Abrantes Furtado, Ozirio Raimundo De Brito",Não informado,Não informado,Sousa,PB,Distrito Industrial,58.805-290,Distrito Industrial,S/N,"Distrito Industrial, Sousa - PB",-6.7096661,-38.2297346,4
Empresa De Beneficio Ambiental,Ecobom - Consultoria E ServiÇos Eireli - Epp,22.091.731/0001-22,INDÚSTRIA,"Coleta, tratamento e disposição de resíduos ou recuperação de materiais",Empresa Individual De Responsabilidade Limitada (De Natureza Empresária),Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,3/20/2015,Não informado,(83) 8862-2050,Não informado,Cabedelo,PB,Parque Esperança,58.108-537,Rua Santo Antonio,624,"Rua Santo Antonio, Cabedelo - PB",-7.0771616,-34.8517896,4
Em Construlimp Eireli - Epp,Em Construlimp Eireli - Epp,17.517.638/0001-05,INDÚSTRIA,"Coleta, tratamento e disposição de resíduos ou recuperação de materiais",Empresa Individual De Responsabilidade Limitada (De Natureza Empresária),Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,5 à 9,2/1/2013,Não informado,Não informado,Não informado,João Pessoa,PB,Tambia,58.020-670,Rua Desembargador Boto De Menezes,S/N,"Rua Desembargador Boto De Menezes, João Pessoa - PB",-7.1128299,-34.8715223,4
Ecosolo,Ecosolo Gestao Ambiental De Residuos Ltda - Epp,11.955.108/0001-54,INDÚSTRIA,"Coleta, tratamento e disposição de resíduos ou recuperação de materiais",Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"R$1,200,000.00",Não informado,5/13/2010,"Pedro Paulo Araujo Medeiros, Joao Neto De Oliveira, Gibran Montenegro Guedes De Holanda, Joao Pedro Dias Dos Santos Rocha",Sociedade Empresária Limitada,fcosolano@uol.com.br,Campina Grande,PB,Zona Rural,58.444-000,Rodovia Pb-138,S/N,"Rodovia Pb-138, Campina Grande - PB",-7.2518881,-35.9337492,4
Horizontal- Construcoes E Incorporacoes,Horizontal- Construcoes E Incorporacoes Ltda - Epp,04.259.130/0001-02,INDÚSTRIA,"Coleta, tratamento e disposição de resíduos ou recuperação de materiais",Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"R$150,000.00",Não informado,1/30/2001,"Carlos Eliezer Gomes, Miguel Pedro Da Nobrega Filho",(83) 9115-8457,Não Informado,Santa Luzia,PB,Sítio io Balanco,58.600-000,Rodovia Br 230 Km 286,S/N,"Rodovia Br 230 Km 286, Santa Luzia - PB",-6.894319,-36.883244,2
Trajano Materiais Reciclaveis Ltda - Epp,Trajano Materiais Reciclaveis Ltda - Epp,18.057.093/0001-56,INDÚSTRIA,"Coleta, tratamento e disposição de resíduos ou recuperação de materiais",Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,5/6/2013,Não informado,Não informado,Não informado,João Pessoa,PB,Distrito Industrial,58.082-003,Rua B-2,S/N,"Rua B-2, João Pessoa - PB",-7.1710252,-34.9006628,4
Translimp Servico E Coleta De Residuos Ltda - Epp,Translimp Servico E Coleta De Residuos Ltda - Epp,21.601.632/0001-80,INDÚSTRIA,"Coleta, tratamento e disposição de resíduos ou recuperação de materiais",Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,22/12/2014,Não informado,Não informado,Não informado,João Pessoa,PB,Distrito Industrial,58.082-000,Rodovia Br-101,S/N,"Rodovia Br-101, João Pessoa - PB",-7.1774122,-34.8992772,4
Metais PB,Metais Pb Ltda - Epp,03.553.441/0001-09,INDÚSTRIA,"Coleta, tratamento e disposição de resíduos ou recuperação de materiais",Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,15/12/1999,"Solange Aparecida Arantes, Joao Carlos Arantes Horto",(83) 9634-0478,Não informado,Mamanguape,PB,Distrito Industrial,58.280-000,Rodovia Br 101 Km 46,S/N,"Rodovia Br 101 Km 46, Mamanguape - PB",-6.83869,-35.1365568,4
Geraldo Mendes De Figueiredo - Epp,Geraldo Mendes De Figueiredo - Epp,00.326.360/0001-88,COMÉRCIO,Comércio Atacadista,Empresário (Individual),Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,25/11/1994,Não informado,Não informado,Não informado,Campina Grande,PB,Centro,58.100-380,Rua Quebra Quilos,S/N,"Rua Quebra Quilos, Campina Grande - PB",-7.2210156,-35.8766416,4
Ubiranilson Lima De Melo - Epp,Ubiranilson Lima De Melo - Epp,35.439.074/0001-03,COMÉRCIO,Comércio Atacadista,Empresário (Individual),Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,10/1/1990,Não informado,Não informado,Não informado,Campina Grande,PB,Alto Branco,58.401-450,Rua Doutor Vasconcelos,S/N,"Rua Doutor Vasconcelos, Campina Grande - PB",-7.2048349,-35.8809103,4
M Das Gracas Da Silva M - Epp,M Das Gracas Da Silva M - Epp,00.897.188/0001-12,COMÉRCIO,Comércio Atacadista,Empresário (Individual),Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,11/7/1995,Não informado,Não informado,Não informado,Campina Grande,PB,Liberdade,58.105-520,Rua Odom Bezerra,S/N,"Rua Odom Bezerra, Campina Grande - PB",-7.2359468,-35.8929891,4
Comac,Comac Material De Construcao Ltda - Epp,41.204.413/0001-75,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"R$100,000.00",10 à 19,7/1/1993,"Sandra Valeria Fuoco Santos, Leonildo Santos Do Nascimento",(83) 3228-3160,Não informado,Cabedelo,PB,Camboinha,58.310-000,BRua 230 KM 04,S/N,"BRua 230 KM 04, Cabedelo - PB",-7.0402624,-34.8430098,4
Rbs Distribuidora De Alimentos Ltda - Epp,Rbs Distribuidora De Alimentos Ltda - Epp,23.633.556/0001-10,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"R$330,000.00",Não informado,10/11/2015,Ricardo Alexandre Barbosa,(83) 3341-3878,Não informado,Conde,PB,Jacumã,58.322-000,Loteamento Vilaje De Jacuma,S/N,"Loteamento Vilaje De Jacuma, Conde - PB",-7.274181,-34.806859,2
Lagar Representacoes Ltda - Epp,Lagar Representacoes Ltda - Epp,04.455.072/0001-84,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,5/18/2001,"Raimundo Nonato Fernandes, Ivonete De Oliveira Fernandes",(83) 9382-6626,Não informado,Santa Cruz do Espírito Santo,PB,Centro,58.337-000,Lourival Lacerda,5,"Lourival Lacerda, Santa Cruz do Espírito Santo - PB",-7.1394306,-35.0860365,4
Combag Comercio De Minerios E Embalagens Ltda - Epp,Combag Comercio De Minerios E Embalagens Ltda - Epp,26.984.464/0001-73,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"R$30,000.00",Não informado,1/30/2017,"Jose Valdo Dos Santos Silva, Diego Marilac De Alcantara",(83) 8816-1644,Não informado,Soledade,PB,Centro,58.155-000,Rua Manoel Avelino De Souza,72,"Rua Manoel Avelino De Souza, Soledade - PB",-7.0586608,-36.3671266,4
Farinha De Mandioca Juripiranga,Marcone Vicente Do Nascimento - Epp,06.120.601/0001-14,COMÉRCIO,Comércio Atacadista,Empresário (Individual),Pequeno Porte,de R$360 mil até R$3.6 M ,"R$202,000.00",até 4,3/2/2004,Não informado,Não informado,Não informado,juripiranga,PB,Centro,58.330-000,Rua Antenor Navarro,126,"Rua Antenor Navarro, juripiranga - PB","-73,765,665","-352,363,487",2
Multiuse,Brach Empresa Brasil China Comercio Distribuicao Importacao E Exportacao Ltda - Epp,27.007.550/0001-99,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"R$600,000.00",Não informado,2/1/2017,"Hong Chiun Chang, Maria Da Gloria Brito Chang",(85) 8866-7788,grupochang@live.com,Caaporã,PB,Centro,58.326-000,Rua Comendador Renato Ribeiro Coutinho,90,"Rua Comendador Renato Ribeiro Coutinho, Caaporã - PB",-7.4369241,-34.9102775,4
Comap,Sivanildo Araujo Do O - Epp,00.337.975/0001-00,COMÉRCIO,Comércio Atacadista,Empresário (Individual),Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,5 à 9,12/9/1994,Não informado,Não informado,Não informado,Pombal,PB,Centro,58.840-000,Rua Coronel Francisco De Assis,113,"Rua Coronel Francisco De Assis, Pombal - PB",-6.772004,-37.802838,2
M.F.O.J - RepresentaÇÃo Comercial Eireli - Epp,M.F.O.J - RepresentaÇÃo Comercial Eireli - Epp,04.560.023/0001-01,COMÉRCIO,Comércio Atacadista,Empresa Individual De Responsabilidade Limitada (De Natureza Empresária),Pequeno Porte,de R$360 mil até R$3.6 M ,"R$100,000.00",Não informado,7/16/2001,Miguel Flor De Oliveira Junior,Não informado,Não informado,São josé de piranhas,PB,Centro,58.940-000,Rua Sabino Cipriano,S/N,"Rua Sabino Cipriano, São josé de piranhas - PB",-7.1189917,-38.4986331,4
Caja Alimentos Frios E Foods,"Sociedade Cajazeirense Comercio, Distribuicao E Representacoes Ltda - Epp",01.245.572/0001-01,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"R$400,000.00",20 à 49,6/13/1996,"Jocinildo Evangelista De Andrade, Anibal Jose Rodrigues Coelho Xavier",(83) 9137-7547,mauro-somar@bol.com.br,Cajazeiras,PB,Distrito Industrial,58.900-000,"Rodovia Br 230, Km 502",S/N,"Rodovia Br 230, Km 502, Cajazeiras - PB",-6.8967189,-38.5243964,4
Gilmar Miudezas,Gilmar Dos Santos Goncalves - Epp,12.940.094/0001-68,COMÉRCIO,Comércio Atacadista,Empresário (Individual),Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,3/10/1989,Não informado,(83) 3364-1705,acaja@terra.com.br,Remigio,PB,Bela Vista,58.398-000,Rua Idelfonso Jardelino Da Costa,64,"Rua Idelfonso Jardelino Da Costa, Remigio - PB",-6.9671474,-35.7938085,4
Agmig - Comercio De Produtos Agropecuarios Ltda - Epp,Agmig - Comercio De Produtos Agropecuarios Ltda - Epp,05.418.879/0001-00,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,10 à 19,10/12/2002,"Luiz Carlos Santos Matos, Soraya Clemetiva Chagas Matos",(83) 8801-6530,contadordjalma@hotmail.com,Mamanguape,PB,Planalto,58.280-000,Loteamento Planalto De Mamanguape,S/N,"Loteamento Planalto De Mamanguape, Mamanguape - PB",-6.8316116,-35.1387526,4
A Costa Comercio Atacadista De Produtos Farmaceuticos Ltda - Epp,A Costa Comercio Atacadista De Produtos Farmaceuticos Ltda - Epp,02.977.362/0001-62,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,2/17/1999,Não informado,Não informado,Não informado,Campina Grande,PB,Catolé,58.104-555,Rua Joao Quirino,S/N,"Rua Joao Quirino, Campina Grande - PB",-7.2350337,-35.8795405,4
Wl - Comercio De Materiais Hospitalares Ltda - Epp,Wl - Comercio De Materiais Hospitalares Ltda - Epp,10.745.479/0001-49,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,5/20/1986,Não informado,Não informado,Não informado,Campina Grande,PB,Centenário,58.107-735,Rua Delmiro Gouveia,S/N,"Rua Delmiro Gouveia, Campina Grande - PB",-7.2272611,-35.8973858,4
Aws Comercial De Alimentos Ltda - Epp,Aws Comercial De Alimentos Ltda - Epp,10.761.294/0001-28,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,7/21/1986,Não informado,Não informado,Não informado,Campina Grande,PB,Catole,58.105-063,Rua Humberto Batista De Lima,S/N,"Rua Humberto Batista De Lima, Campina Grande - PB",-7.2457658,-35.8836392,4
Sofrio Refrigeracoes Ltda - Epp,Sofrio Refrigeracoes Ltda - Epp,09.245.135/0001-91,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,1/21/1979,Não informado,Não informado,Não informado,Campina Grande,PB,Centro,58.400-052,Rua Getulio Vargas,S/N,"Rua Getulio Vargas, Campina Grande - PB",-7.2178311,-35.8913142,4
J Severo & Cia Ltda - Epp,J Severo & Cia Ltda - Epp,11.991.106/0001-10,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,3/13/1987,Não informado,Não informado,Não informado,Campina Grande,PB,Bela Vista,58.101-290,Rua Prof.Carlos F.Medeiros De Almeida,S/N,"Rua Prof.Carlos F.Medeiros De Almeida, Campina Grande - PB",-7.2225571,-35.9032185,4
Corepol Comercio E Representacoes Pordeus Ltda - Epp,Corepol Comercio E Representacoes Pordeus Ltda - Epp,70.132.220/0001-54,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,11/1/1994,Não informado,Não informado,Não informado,Campina Grande,PB,Jardim Paulistano,58.106-003,Rua Ariel De Oliveira,S/N,"Rua Ariel De Oliveira, Campina Grande - PB",-7.2502472,-35.8928808,4
Baroni Distribuidora Ltda,Baroni Distribuidora Ltda - Epp,11.791.133/0001-40,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,3/12/2010,Não informado,(83) 3535-2157,emanuelaemilia@hotmail.com,Uirauna,PB,Centro,58.915-000,Rua Jose Barbosa,S/N,"Rua Jose Barbosa, Uirauna - PB",-6.5188074,-38.4060225,4
Tropicalli,Marcia Macedo De Vasconcelos Wilson - Epp,23.942.814/0001-40,COMÉRCIO,Comércio Atacadista,Empresário (Individual),Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,1/11/2016,Não informado,(83) 3232-1689,Não informado,Bayeux,PB,Imaculada,58.309-180,Rua Placido Oliveira Lima,128,"Rua Placido Oliveira Lima, Bayeux - PB",-7.1345974,-34.9251975,4
Ayres & Martins Ltda - Epp,Ayres & Martins Ltda - Epp,03.610.337/0001-09,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,1/7/2000,Não informado,Não informado,Não informado,Sousa,PB,Centro,58.800-290,Rua Doutor Silva Mariz,79,"Rua Doutor Silva Mariz, Sousa - PB",-6.7576113,-38.2310602,4
Import Paraiba De Porcelanatos,Import Paraiba Comercio De Porcelanatos Ltda - Epp,24.502.097/0001-07,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,4/1/2016,Não informado,(81) 3211-0101,gamapisos@live.com,Santa Rita,PB,Centro,58.300-150,Rua Sao Joao,60,"Rua Sao Joao, Santa Rita - PB",-7.1226949,-34.9793046,4
Souza Distribuidora De Alimentos,Souza & Souza Comercio De Alimentos Ltda - Epp,21.103.357/0001-75,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,9/24/2014,Não informado,(83) 3292-0059,catcontabilidade@hotmail.com,Santa Rita,PB,Centro,58.300-350,Rua Sebastiao Madruga,159,"Rua Sebastiao Madruga, Santa Rita - PB",-7.1273231,-34.9882107,4
Mmgran Marmores E Cranitos,Mmgran Marmores E Granitos Comercio E Distribuidora Ltda - Epp,24.366.067/0001-02,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,3/11/2016,Não informado,(83) 3337-1575,graca-farias@hotmail.com,Queimadas,PB,Ligeiro,58.475-000,Avenida Assis Chateaubriand,3445,"Avenida Assis Chateaubriand, Queimadas - PB",-7.3598276,-35.9018975,4
Agrofarma,Leonilson Verissimo De Sousa - Epp,02.289.222/0001-00,COMÉRCIO,Comércio Atacadista,Empresário (Individual),Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,17/12/1997,Não informado,Não informado,Não informado,Queimadas,PB,Centro,58.440-000,Rua Eunice Ribeiro De Araujo,463,"Rua Eunice Ribeiro De Araujo, Queimadas - PB",-7.3624404,-35.9012706,4
Machado Dantas Industria E Comercio De Alimentos Ltda.,Machado Dantas Industria E Comercio De Alimentos Ltda - Epp,11.250.138/0001-65,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,22/10/2009,Não informado,(81) 9204-2725,samuelerickson@hotmail.com,Pedras De Fogo,PB,Centro,58.328-000,Rua Presidente Jucelino Kubitsichek,133,"Rua Presidente Jucelino Kubitsichek, Pedras De Fogo - PB",-7.4053725,-35.1060298,4
Agrocamp,Maria Edileusa Da Mata Verissimo - Epp,09.235.452/0001-27,COMÉRCIO,Comércio Atacadista,Empresário (Individual),Pequeno Porte,de R$360 mil até R$3.6 M ,"10,000.00",5 á 9,12/11/2007,Não informado,(83) 3336-1312,Não informado,Boqueirao,PB,Centro,58.450-000,Rua Epitacio Pessoa,72,"Rua Epitacio Pessoa, Boqueirao - PB",-7.4583681,-36.2208541,4
Comercial Alencar De Utilidades Domesticas Ltda - Epp,Comercial Alencar De Utilidades Domesticas Ltda - Epp,05.075.942/0001-52,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,6/5/2002,"Francisco Goncalves De Alencar, Francisco Uelttow Garcia De Alencar",Não informado,Não informado,Joao Pessoa,PB,Cristo,58.000-000,Rua Caetano De Figueiredo,2004,"Rua Caetano De Figueiredo, Joao Pessoa - PB",-7.1588473,-34.8746889,4
Carnes Resende,Carnes Resende Ltda-Epp - Epp,07.588.797/0001-39,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"50,000.00",Não informado,9/9/2005,"Flaviano De Resende Oliveira, Fluvio Esterfanio De Resende Oliveira",(83) 3421-2078,Não informado,Patos,PB,Jardin Magnolia,58.709-000,"Rua Projetada, Br 230 Km 336",S/N,"Rua Projetada, Br 230 Km 336, Patos - PB",-7.0107354,-37.2729804,4
Produtos Da Barra,Da Barra Comercio E Servicos De Empacotamento E Transporte De Carga Ltda - Epp,25.126.709/0001-69,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"500,000.00",Não informado,7/4/2016,"Clelio Costa Soares, Clebio Costa Soares, Cleandro Costa Soares",(83) 3376-1028,Não informado,Barra De Santa Rosa,PB,Campo De Aviacao,58.170-000,Rua Dulcinaldo Correia Diniz,9,"Rua Dulcinaldo Correia Diniz, Barra De Santa Rosa - PB",-6.7189562,-36.0587071,4
Ag Comercio,Ag Comercio Distribuidora De Produtos Em Geral Ltda - Epp,11.821.032/0001-74,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"50,000.00",Não informado,4/14/2010,"Almir Morais De Lucena Filho, Geraldo Vidal Da Nobrega Junior",(83) 3224-4486,ag-comercio@hotmail.com,Cabedelo,PB,Parque Esperanca,58.310-000,Rua Sao Jose,S/N,"Rua Sao Jose, Cabedelo - PB",-6.9695088,-34.8326304,4
Wb Comercio De Produtos Agricolas E Veterinarios Ltda - Epp,Wb Comercio De Produtos Agricolas E Veterinarios Ltda - Epp,08.493.175/0001-90,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"30,000.00",10 á 19,12/7/2006,"Wagner Marinho Da Rocha Arnaud, Eduardo Andre Dias Pedrosa",(83) 3245-4719,wagner@wbdistribuidorapb.com.br,Cabedelo,PB,Jardim America,58.310-000,Avenida Projetada 1 (Lto Jd. Beta),140,"Avenida Projetada 1 (Lto Jd. Beta), Cabedelo - PB",-7.0298402,-34.8476962,4
Atacadao De Bebidas Queiroz Ltda - Epp,Atacadao De Bebidas Queiroz Ltda - Epp,12.480.021/0001-30,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,9/1/2010,Não informado,Não informado,Não informado,Campina Grande,PB,Estacao Velha,58.410-097,Rua Guilhermino Barbosa,S/N,"Rua Guilhermino Barbosa, Campina Grande - PB",-7.2369782,-35.8854811,4
G & G Distribuidora De Publicacoes Ltda - Epp,G & G Distribuidora De Publicacoes Ltda - Epp,19.077.232/0001-76,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,15/10/2013,Não informado,Não informado,Não informado,Joao Pessoa,PB,Bairros Dos Estados,58.030-090,Avenida Minas Gerais,S/N,"Avenida Minas Gerais, Joao Pessoa - PB",-7.1145348,-34.8553378,4
Borges & Araujo Representacoes Ltda - Epp,Borges & Araujo Representacoes Ltda - Epp,07.783.436/0001-43,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,1/12/2006,Não informado,Não informado,Não informado,Joao Pessoa,PB,Castelo Branco,58.050-660,Rua Jose Dionisio Da Silva,S/N,"Rua Jose Dionisio Da Silva, Joao Pessoa - PB",-7.132103,-34.844046,2
J A Representacoes Ltda - Epp,J A Representacoes Ltda - Epp,40.957.292/0001-70,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,10/1/1991,Não informado,Não informado,Não informado,Joao Pessoa,PB,Tambau,58.039-181,Avenida Senador Rui Carneiro,S/N,"Avenida Senador Rui Carneiro, Joao Pessoa - PB",-7.11475,-34.8333037,4
Mercosul Norte Mercantil De Alimentos Ltda - Epp,Mercosul Norte Mercantil De Alimentos Ltda - Epp,40.982.217/0001-69,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,4/1/1992,Não informado,Não informado,Não informado,Joao Pessoa,PB,Centro,58.013-110,Novo Horizonte Distribuidora De Livros Ltda - Epp,S/N,"Novo Horizonte Distribuidora De Livros Ltda - Epp, Joao Pessoa - PB",-7.1194958,-34.8450118,4
Novo Horizonte Distribuidora De Livros Ltda - Epp,Novo Horizonte Distribuidora De Livros Ltda - Epp,35.427.525/0001-92,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,8/1/1990,Não informado,Não informado,Não informado,Joao Pessoa,PB,Centro,58.013-370,Avenida Engenheiro Clodoaldo Gouveia,S/N,"Avenida Engenheiro Clodoaldo Gouveia, Joao Pessoa - PB",-7.1249567,-34.876649,2
Matos Agricola Ltda - Epp,Matos Agricola Ltda - Epp,02.709.842/0001-42,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,9/2/1998,Não informado,(83) 8801-6530,contadordjalma@hotmail.com,Bayeux,PB,Imaculada,58.306-000,Rua Francisco Marques Fonseca,101,"Rua Francisco Marques Fonseca, Bayeux - PB",-7.1320866,-34.9310295,4
Pau Brasil,Pau Brasil Comercio E Representacoes Ltda - Epp,06.175.146/0001-54,COMÉRCIO,Comércio Atacadista,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,3/23/2004,Não informado,(83) 3521-1793,Não informado,Sousa,PB,Centro,58.800-290,Rua Doutor Silva Mariz,105,"Rua Doutor Silva Mariz, Sousa - PB",-6.7576113,-38.2310602,4
